firm_i,firm_j,relation_type,relation_direction,year,weight
029200396H3K1YG7D555,029200388A7S7Z5I0H57,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2017.0,1
029200396H3K1YG7D555,029200388A7S7Z5I0H57,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2017.0,1
029200328C3N9YI2D660,0292005048H3P6V8I753,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2023.0,1
029200328C3N9YI2D660,0292005048H3P6V8I753,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2023.0,1
0292001568C3M3WGI292,0292004558B0R5B7I133,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2017.0,1
0292001568C3M3WGI292,0292004558B0R5B7I133,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2017.0,1
0292001381F1R1IB5B85,029200388A7S7Z5I0H57,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2017.0,1
0292001381F1R1IB5B85,029200388A7S7Z5I0H57,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2017.0,1
0292003053E9T6XD4J69,029200268F8M5YI5I629,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2017.0,1
0292003053E9T6XD4J69,029200268F8M5YI5I629,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2017.0,1
029200325G5L3B56F539,254900O2M53JMNF7U320,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2017.0,1
029200325G5L3B56F539,029200370B2O2ZA1C754,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2017.0,1
0292003272D0K9BC3A91,0292002595F3Q7UF5D85,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2017.0,1
0292003272D0K9BC3A91,0292002595F3Q7UF5D85,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2017.0,1
0292003540H0S4VA7A50,0292002717G4T0CH6E65,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2018.0,1
0292003540H0S4VA7A50,0292002717G4T0CH6E65,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2018.0,1
029200355B5N3V4F1F58,029200239B8P7V6L1I90,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2018.0,1
029200355B5N3V4F1F58,029200239B8P7V6L1I90,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2018.0,1
0292003601E9LB4J5157,029200370B2O2ZA1C754,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2018.0,1
0292003601E9LB4J5157,029200370B2O2ZA1C754,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2018.0,1
0292003678F3M2X5I579,029200364B8N6X9F1I18,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2018.0,1
0292003678F3M2X5I579,029200364B8N6X9F1I18,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2018.0,1
029200370C9R1X2J8B30,549300HQNI9L7RHZLR55,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2019.0,1
029200370C9R1X2J8B30,549300HQNI9L7RHZLR55,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2019.0,1
0292003823C8T7UD2I52,0292003818A1T1X5I052,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2019.0,1
0292003823C8T7UD2I52,0292003818A1T1X5I052,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2019.0,1
0292003906D6L4VG3G39,0292003898E7N8V6I421,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2019.0,1
0292003906D6L4VG3G39,0292003898E7N8V6I421,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2019.0,1
0292003988E8Q2ZI4I20,9845006F83F5EEC2A704,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2019.0,1
0292003988E8Q2ZI4I20,9845006F83F5EEC2A704,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2019.0,1
0292005165B3LF1D5502,549300KUSXNC3F2POT08,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2023.0,1
0292005165B3LF1D5502,549300DV9GIB88LZ5P30,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2023.0,1
549300GM03B9OU8H6I30,029200388A7S7Z5I0H57,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2020.0,1
549300GM03B9OU8H6I30,029200388A7S7Z5I0H57,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2020.0,1
0292005956B3N5YG1D77,ENYF8GB5SMQZ25S06U51,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2023.0,1
0292005956B3N5YG1D77,ENYF8GB5SMQZ25S06U51,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2023.0,1
213800YZUFO288ITHS60,5299000LJQJVR46UWQ94,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2022.0,1
31570020000000002796,549300JNH2DV17Z80F28,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2019.0,1
31570020000000002796,2W8N8UU78PMDQKZENC08,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2000.0,1
097900CAKA0000016368,097900CAKA0000015010,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2020.0,1
097900CAKA0000016368,097900CAKA0000015010,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2020.0,1
097900CAKA0000018017,097900BHLY0000092724,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2017.0,1
097900BEHZ0000001466,549300N1SDN71ZZ8BO45,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2019.0,1
097900BEL10000005682,52990045V2BWJN669Q34,IS_DIRECTLY_CONSOLIDATED_BY,child_to_parent,2023.0,1
097900BFHY0000030077,315700SWFD7G70AVG768,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2021.0,1
097900BFB40000007898,097900BFBW0000007680,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2019.0,1
097900BFBW0000007583,097900BFBW0000007680,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2019.0,1
097900BFBW0000007680,KR6LSKV3BTSJRD41IF75,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2007.0,1
097900BFBW0000007777,097900BFBW0000007680,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2019.0,1
097900BFLE0000036968,315700SWFD7G70AVG768,IS_ULTIMATELY_CONSOLIDATED_BY,child_to_parent,2021.0,1
